Species,"Grid reference",Location,Date,Recorder,Determiner
"Octolasion lacteum",SU646694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SU649694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SU649698,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SU649698,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SU648694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SU649698,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SU649694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU648694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU648694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea caliginosa",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea rosea",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea rosea",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea rosea",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Aporrectodea rosea",SU649695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Dendrodrilus rubidus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Dendrodrilus rubidus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Eisenia fetida",SU646696,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Eisenia fetida",SU646696,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU646694,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU650695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU650695,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Lumbricus rubellus",SU646697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Allolobophoridella eiseni",SU939692,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Allolobophoridella eiseni",SU939692,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Dendrobaena attemsi",SU939692,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Dendrobaena octaedra",SU938692,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Eisenia fetida",SU939691,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Lumbricus rubellus",SU939692,"Silwood Park",2014/07/12,"Irfaan Junaideen","Irfaan Junaideen"
"Lumbricus rubellus",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus terrestris",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Murchieona muldali",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Satchellius mammalis",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Allolobophora chlorotica",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea caliginosa",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea longa",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea rosea",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus castaneus",SU860704,"Garth Meadows",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea longa",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Aporrectodea longa",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Ben Crabb"
"Aporrectodea rosea",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Lumbricus festivus",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Lumbricus rubellus",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Allolobophora chlorotica",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Aporrectodea caliginosa",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Aporrectodea caliginosa",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Octolasion cyaneum",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Octolasion lacteum",SU782718,"Dinton Pastures Country Park: Site 6",2015/10/17,"Dan Carpenter","Keiron Derek Brown"
"Eiseniella tetraedra",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Ben Crabb"
"Dendrodrilus rubidus",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Ben Crabb"
"Lumbricus terrestris",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Ben Crabb"
"Lumbricus rubellus",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Ben Crabb"
"Allolobophora chlorotica",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Ben Crabb"
"Allolobophoridella eiseni",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Ben Crabb"
"Allolobophora chlorotica",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Ben Crabb"
"Aporrectodea longa",SU784726,"Dinton Pastures Country Park",2015/10/17,"Dan Carpenter","Ben Crabb"
"Aporrectodea caliginosa",SU784726,"Dinton Pastures Country Park",2015/10/17,"Dan Carpenter","Ben Crabb"
"Lumbricus rubellus",SU784726,"Dinton Pastures Country Park",2015/10/17,"Dan Carpenter","Ben Crabb"
"Aporrectodea caliginosa",SU784726,"Dinton Pastures Country Park",2015/10/17,"Dan Carpenter","Ben Crabb"
"Allolobophora chlorotica",SU784726,"Dinton Pastures Country Park",2015/10/17,"Dan Carpenter","Ben Crabb"
"Allolobophora chlorotica",SU743718,"University of Reading",2015/10/27,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Allolobophora chlorotica",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Dendrodrilus rubidus",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Dendrodrilus rubidus",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Eiseniella tetraedra",SP465065,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Eiseniella tetraedra",SP465065,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Lumbricus castaneus",SP466065,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Lumbricus castaneus",SP466065,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Octolasion lacteum",SP465064,"Hill End Centre",2014/08/09,"Victoria Burton","Victoria Burton"
"Dendrobaena octaedra",SU856704,"Tinker's Copse",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus castaneus",SU842699,"Pope's Meadow",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus terrestris",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Ben Crabb"
"Lumbricus rubellus",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Ben Crabb"
"Lumbricus castaneus",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Ben Crabb"
